customer_id,name,city
1,Customer_1,Chennai
2,Customer_2,Bangalore
3,Customer_3,Kolkata
4,Customer_4,Kolkata
5,Customer_5,Mumbai
6,Customer_6,Chennai
7,Customer_7,Kolkata
8,Customer_8,Kolkata
9,Customer_9,Bangalore
10,Customer_10,Mumbai
11,Customer_11,Mumbai
12,Customer_12,Delhi
13,Customer_13,Kolkata
14,Customer_14,Bangalore
15,Customer_15,Mumbai
16,Customer_16,Mumbai
17,Customer_17,Chennai
18,Customer_18,Chennai
19,Customer_19,Mumbai
20,Customer_20,Mumbai
21,Customer_21,Bangalore
22,Customer_22,Kolkata
23,Customer_23,Bangalore
24,Customer_24,Chennai
25,Customer_25,Delhi
26,Customer_26,Delhi
27,Customer_27,Mumbai
28,Customer_28,Bangalore
29,Customer_29,Chennai
30,Customer_30,Mumbai
31,Customer_31,Delhi
32,Customer_32,Chennai
33,Customer_33,Kolkata
34,Customer_34,Delhi
35,Customer_35,Kolkata
36,Customer_36,Kolkata
37,Customer_37,Bangalore
38,Customer_38,Bangalore
39,Customer_39,Delhi
40,Customer_40,Kolkata
41,Customer_41,Bangalore
42,Customer_42,Bangalore
43,Customer_43,Delhi
44,Customer_44,Kolkata
45,Customer_45,Delhi
46,Customer_46,Chennai
47,Customer_47,Chennai
48,Customer_48,Mumbai
49,Customer_49,Kolkata
50,Customer_50,Chennai
51,Customer_51,Kolkata
52,Customer_52,Chennai
53,Customer_53,Mumbai
54,Customer_54,Kolkata
55,Customer_55,Mumbai
56,Customer_56,Mumbai
57,Customer_57,Bangalore
58,Customer_58,Kolkata
59,Customer_59,Delhi
60,Customer_60,Chennai
61,Customer_61,Chennai
62,Customer_62,Delhi
63,Customer_63,Bangalore
64,Customer_64,Bangalore
65,Customer_65,Chennai
66,Customer_66,Delhi
67,Customer_67,Chennai
68,Customer_68,Delhi
69,Customer_69,Bangalore
70,Customer_70,Mumbai
71,Customer_71,Chennai
72,Customer_72,Bangalore
73,Customer_73,Delhi
74,Customer_74,Bangalore
75,Customer_75,Kolkata
76,Customer_76,Chennai
77,Customer_77,Kolkata
78,Customer_78,Chennai
79,Customer_79,Mumbai
80,Customer_80,Chennai
81,Customer_81,Kolkata
82,Customer_82,Chennai
83,Customer_83,Kolkata
84,Customer_84,Mumbai
85,Customer_85,Delhi
86,Customer_86,Kolkata
87,Customer_87,Bangalore
88,Customer_88,Bangalore
89,Customer_89,Bangalore
90,Customer_90,Mumbai
91,Customer_91,Delhi
92,Customer_92,Kolkata
93,Customer_93,Chennai
94,Customer_94,Bangalore
95,Customer_95,Mumbai
96,Customer_96,Bangalore
97,Customer_97,Kolkata
98,Customer_98,Kolkata
99,Customer_99,Kolkata
100,Customer_100,Delhi
